codigo,titulo,fecha_estreno,origen_pelicula,entradas,recaudacion
AE260170,SATYAJIT RAY: RETROSPECTIVA DE SUS PRIMEROS AÑOS,2026-06-02,"Festivales, Muestras y Otros",100,475000.00
AE260175,BLEAK WEAK,2026-06-07,"Festivales, Muestras y Otros",3005,16877673.02
AE260176,TRIÁNGULO MACABRO: KARLOFF - LORRE - LUGOSI,2026-06-04,"Festivales, Muestras y Otros",675,3552000.00
AE260179,CINE CLUB META,2026-06-09,"Festivales, Muestras y Otros",27,111500.00
AE260180,TOY STORY 5 - AVANT PREMIER,2026-06-10,"Festivales, Muestras y Otros",3817,14500.00
AE260182,"CICLO DE CINE ""ANTES DE MORIR""",2026-06-11,"Festivales, Muestras y Otros",359,2081954.26
AE260184,EL DOCUMENTAL DEL 10 EN EL CC25,2026-06-17,"Festivales, Muestras y Otros",555,0.00
AE260185,BTS WORLD TOUR 'ARIRANG' IN BUSAN: LIVE VIEWING,2026-06-13,"Festivales, Muestras y Otros",16272,253509185.48
AE260186,4TO. SYNCRO FILM FEST-FESTIVAL INTERNACIONAL DE CORTOS,2026-06-25,"Festivales, Muestras y Otros",539,4050000.00
AE260187,TÁNDEM: CINE FRANCO-ALEMÁN EN  EL CINECLUB,2026-06-04,"Festivales, Muestras y Otros",162,162.00
AE260188,MUESTRA INTEGRAL MARTÍN REJTMAN,2026-06-04,"Festivales, Muestras y Otros",373,1792000.00
AE260191,ERNST LUBITSCH EN AMÉRICA,2026-06-30,"Festivales, Muestras y Otros",277,1735000.00
AE260204,QUINTO MARTES - LAS LLUVIAS DE RANCHIPUR,2026-06-30,"Festivales, Muestras y Otros",39,185000.00
AE260208,PROGRAMACIÓN JULIO Y AGOSTO EL CAIRO CINE PÚBLICO,2026-07-01,"Festivales, Muestras y Otros",1209,484000.00
AE260210,HOMENAJE A LITA STANTIC,2026-07-02,"Festivales, Muestras y Otros",211,1014000.00
AE260211,ETTORE SCOLA: UNA RETROSPECTIVA ESPECIAL,2026-07-07,"Festivales, Muestras y Otros",47,229000.00
